iter	Logloss
0	0.6596586114
1	0.6289010803
2	0.6021495539
3	0.5767885493
4	0.5533662168
5	0.5320737788
6	0.5124547354
7	0.4940842241
8	0.4775124197
9	0.4620307653
10	0.4479488603
11	0.4349552148
12	0.4229736892
13	0.4118190609
14	0.401443464
15	0.3915177522
16	0.3824849922
17	0.3739223171
18	0.3662014832
19	0.3589206527
20	0.3521581578
21	0.345740256
22	0.3399120009
23	0.3345332507
24	0.3295267555
25	0.3248902117
26	0.3204761661
27	0.316424861
28	0.3125912609
29	0.3089999913
30	0.3055211954
31	0.3024565894
32	0.2994784211
33	0.2968144563
34	0.2944262792
35	0.2921056055
36	0.28979151
37	0.2876441797
38	0.2856857967
39	0.2839581411
40	0.2822575588
41	0.2807054918
42	0.2793220088
43	0.2779510181
44	0.2766729788
45	0.2754267185
46	0.2742766745
47	0.2732987607
48	0.2723634093
49	0.2714392454
50	0.2704703632
51	0.2695827659
52	0.268806476
53	0.2681951626
54	0.2674027723
55	0.2667229201
56	0.2660902812
57	0.2655187296
58	0.2648816551
59	0.2643212683
60	0.2639658382
61	0.263427449
62	0.262897939
63	0.2623667091
64	0.2619850235
65	0.2615661589
66	0.261249927
67	0.2608712524
68	0.2604171419
69	0.2600615935
70	0.2597794243
71	0.2593386784
72	0.2590216778
73	0.2586197086
74	0.2583207922
75	0.2579209161
76	0.2575987598
77	0.257236557
78	0.2569979006
79	0.2567151454
80	0.2563457634
81	0.2560475761
82	0.255780121
83	0.2555756591
84	0.2553265318
85	0.2550925359
86	0.254856104
87	0.2546259518
88	0.254570485
89	0.2542824763
90	0.2540671909
91	0.2538404901
92	0.253622453
93	0.2533843038
94	0.2532863497
95	0.2530794345
96	0.2528245971
97	0.2526565235
98	0.2525613653
99	0.2524174009
