iter	Passed	Remaining
0	2	218
1	3	167
2	4	144
3	5	127
4	6	117
5	7	115
6	8	110
7	9	107
8	10	103
9	11	100
10	12	98
11	13	96
12	14	95
13	15	93
14	16	92
15	17	90
16	18	88
17	18	86
18	19	84
19	20	83
20	21	82
21	22	80
22	23	79
23	24	77
24	25	76
25	26	74
26	27	73
27	28	72
28	29	71
29	29	69
30	31	69
31	32	69
32	33	68
33	34	66
34	35	65
35	36	64
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	74	20
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
